Country;Male;Female
Austria;10.50;8.20
Belgium;11.30;9.00
Bulgaria;15.20;12.80
Croatia;13.40;10.50
Cyprus;8.70;6.90
Czech Republic;12.10;10.30
Denmark;10.80;8.90
Estonia;13.00;11.40
Finland;9.70;8.10
France;9.30;7.90
Germany;10.00;8.70
Greece;12.50;10.90
Hungary;14.60;12.30
Ireland;8.10;6.50
Italy;10.90;8.60
Latvia;14.80;12.40
Lithuania;15.00;13.10
Luxembourg;9.50;7.80
Malta;7.60;5.90
Netherlands;9.90;8.30
Poland;13.10;11.40
Portugal;11.20;9.60
Romania;15.30;13.00
Slovakia;14.00;11.70
Slovenia;11.70;9.40
Spain;9.00;7.50
Sweden;10.20;8.80
